Trap,Camera,Latitude,Longitude,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,sessionCol,TrailType,CameraType
PS1,CamA,-32.67982,152.18388,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS1,CamB,-32.67982,152.18388,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS2,CamA,-32.657412,152.185272,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS2,CamB,-32.657412,152.185272,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS3,CamA,-32.63617,152.20218,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS3,CamB,-32.63617,152.20218,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS4,CamA,-32.60925,152.2137,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS4,CamB,-32.60925,152.2137,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS5,CamA,-32.60284,152.23293,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS5,CamB,-32.60284,152.23293,02/12/2021,30/01/2022,02/12/2021,17/12/2021,,,1,4wdtrack,Trail
PS6,CamA,-32.58665,152.27344,02/12/2021,30/01/2022,02/12/2021,17/12/2021,,,1,4wdtrack,Trail
PS6,CamB,-32.58665,152.27344,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS7,CamA,-32.56103,152.28714,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS7,CamB,-32.56103,152.28714,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS8,CamA,-32.53981,152.3132,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS8,CamB,-32.53981,152.3132,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS9,CamA,-32.51167,152.32956,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS9,CamB,-32.51167,152.32956,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS10,CamA,-32.50121,152.32883,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS10,CamB,-32.50121,152.32883,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS11,CamA,-32.48169,152.35347,02/12/2021,30/01/2022,,,,,1,Unsealedroad,Trail
PS11,CamB,-32.48169,152.35347,02/12/2021,30/01/2022,,,,,1,Unsealedroad,Trail
PS12,CamA,-32.5004,152.3555,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS12,CamB,-32.5004,152.3555,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS13,CamA,-32.4571,152.38283,02/12/2021,30/01/2022,18/12/2021,23/01/2022,,,1,4wdtrack,Trail
PS13,CamB,-32.4571,152.38283,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
PS14,CamA,-32.48103,152.39821,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS14,CamB,-32.48103,152.39821,02/12/2021,30/01/2022,,,,,1,Walktrail,Trail
PS15,CamA,-32.46137,152.42685,02/12/2021,30/01/2022,02/12/2021,18/12/2021,,,1,Unsealedroad,Trail
PS15,CamB,-32.46137,152.42685,02/12/2021,30/01/2022,,,,,1,Unsealedroad,Trail
PS16,CamA,-32.44598,152.43916,02/12/2021,30/01/2022,,,,,1,4wdtrack,Trail
