Species,Individual,DateTime,RelativePath,File,Date,Trap,Camera
Dingo,UOF1501,2021-12-02 18:07,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-02__18-09-51(1).JPG,2021-12-02,PS1,CamB
Dingo,UOM2008,2021-12-02 18:07,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-02__18-09-56(5).JPG,2021-12-02,PS1,CamB
Dingo,UOM2008,2021-12-13 18:13,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-13__18-15-32(1).JPG,2021-12-13,PS1,CamB
Dingo,UOF1501,2021-12-13 18:13,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-13__18-15-37(5).JPG,2021-12-13,PS1,CamB
Dingo,UOF1501,2021-12-14 11:50,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-14__11-52-06(1).JPG,2021-12-14,PS1,CamB
Dingo,UOM2008,2021-12-15 5:51,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-15__05-53-08(1).JPG,2021-12-15,PS1,CamB
Dingo,UOF1501,2021-12-15 5:51,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-15__05-53-14(4).JPG,2021-12-15,PS1,CamB
Dingo,UOM2008,2021-12-15 16:06,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-15__16-08-25(1).JPG,2021-12-15,PS1,CamB
Dingo,UOM2008,2021-12-16 17:55,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-16__17-57-39(1).JPG,2021-12-16,PS1,CamB
Dingo,UOF1709,2021-12-17 19:52,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-17__19-54-09(1).JPG,2021-12-17,PS1,CamB
Dingo,UOM2004,2021-12-17 19:52,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-17__19-54-57(10).JPG,2021-12-17,PS1,CamB
Dingo,UOF1501,2021-12-21 17:19,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-21__17-21-13(1).JPG,2021-12-21,PS1,CamB
Dingo,UOM2008,2021-12-21 17:19,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-21__17-21-17(6).JPG,2021-12-21,PS1,CamB
Dingo,UOF1501,2021-12-24 19:06,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-24__19-08-53(1).JPG,2021-12-24,PS1,CamB
Dingo,UOM2008,2021-12-24 19:07,C:/Users/z5017880/OneDrive - UNSW/Documents/Uni things/PHD/Chapter population dynamics/Analysis folder/dingo_images/Dingo/PS1/CamB,PS1__CamB__2021-12-24__19-09-04(1).JPG,2021-12-24,PS1,CamB
