Trap,x,y
PS1,423483.8042,6383908.967
PS2,423574.0792,6386402.249
PS3,425165.5768,6388765.112
PS4,426224.0854,6391757.461
PS5,428023.2917,6392481.238
PS6,431812.3441,6394297.163
PS7,433079.0548,6397151.54
PS8,435510.3601,6399519.977
PS9,437032.6097,6402644.823
PS10,436951.0776,6403808.33
PS11,439252.656,6405986.504
PS12,439455.9293,6403913.578
PS13,441995.5766,6408728.728
PS14,443455.8216,6406089.581
PS15,446143.9458,6408310.535
PS16,447305.5172,6409935.419
PS17,450324.2031,6412215.133
PS18,449301.9296,6408379.315
PS19,452328.6289,6410508.042
PS20,453058.096,6415157.152
PS21,454468.1361,6411339.402
PS22,449966.3088,6415040.479
PS23,432721.4991,6396085.316
PS24,426520.2766,6391585.037
